rera_ids,bhk_type,bhk_count,mean_carpet_area,far,number_of_towers,total_unit_count,cost_of_land_inr,district,latitude,longitude,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,bhk_unit_portion,total_carpet_area
PRM/KA/RERA/1250/303/PR/080525/007730,0.5,60.0,26.99,2.499,16.0,1077,972000000,Bengaluru Rural,13.206808726361915,77.65977815803362,Sattva Vasanta Skye,2025-05-01,Residential/Group Housing,Devanahalli,64041,12814,51227,8070400000,Devanahalli,Apartment,11.06,5.138202722686919,27.24383674495507,23.96402767828861,22.97241080516701,Krishnarajapura,10.02470524511096,Bellary Road,0.055710306406685235,1619.3999999999999
PRM/KA/RERA/1251/446/PR/300924/007105,0.5,95.0,24.596526315789475,2.247,8.0,698,1098268515,Bengaluru Urban,12.88946,77.705805,GODREJ LAKESIDE ORCHARD,2024-11-01,Residential/Group Housing,Bengaluru East,48829,15508,33321,8745472946,Chikkakannalli,Apartment,20.215,34.123024845895436,17.588654687248162,24.182315269531657,9.807534281592769,Kundalahalli,5.050650943920399,Outer Ring Road,0.1361031518624642,2336.67
PRM/KA/RERA/1251/309/PR/060324/006692,0.5,72.0,16.16,3.24,2.0,358,377577120,Bengaluru Urban,13.14778,77.6808,ASSETZ SORA & SAKI Phase 1,2024-04-01,Residential/Group Housing,Bengaluru North,23598,2886,20712,2638907120,Bagalur,Apartment,11.285588235294117,6.195782878360097,22.402050246227585,20.663907550395887,16.36338463733811,Krishnarajapura,7.689442012002661,Bellary Road,0.2011173184357542,1163.52
PRM/KA/RERA/1251/472/PR/080525/007728,0.5,44.0,24.8,3.0,4.0,456,3543753837,Bengaluru Urban,13.1225,77.634,Assetz Zen & Sato,2025-05-15,Residential/Group Housing,Yelahanka,27927,6185,21742,7636702779,Sathnur,Apartment,13.43,11.446540219237706,17.547425868742888,15.010137679111123,14.274459929734832,Yeshwantpur,2.313017371676064,Bellary Road,0.09649122807017543,1091.2
PRM/KA/RERA/1250/303/PR/110522/004869,0.5,176.0,19.731136363636363,2.361,9.0,1001,273287989,Bengaluru Rural,13.21058683636832,77.6728732177615,"Aeropolis, a project of Sattva Group",2021-09-15,Residential/Group Housing,Devanahalli,41783,9402,32382,2732530958,Devanahalli,Apartment,10.25,3.885663156644182,28.16481589165894,25.13296837956862,23.314115102950726,Krishnarajapura,11.169648389339429,Bellary Road,0.17582417582417584,3472.68
PRM/KA/RERA/1250/304/PR/030524/006836,0.5,130.0,75.54861538461539,2.25,2.0,195,29546200,Bengaluru Rural,12.982111,77.783472,ISHA HILIFE,2024-03-12,Residential/Group Housing,Hosakote,9712,2375,7336,423115981,Whitefield,Apartment,7.9750000000000005,25.29742819392875,23.135562887054444,27.549751032971137,3.1530374332479836,Whitefield (Kadugodi),8.945835721530361,Old Madras Road,0.6666666666666666,9821.32
PRM/KA/RERA/1250/303/PR/280225/007529,0.5,126.0,25.764895326666668,2.49,7.0,798,1490400000,Bengaluru Rural,13.24131597560623,77.72044448956024,Park Cubix Phase 2,2024-09-01,Residential/Group Housing,Devanahalli,36128,6327,29801,4483800000,Devanahalli,Apartment,8.06,5.041948649467362,33.4976841863858,31.015297877206326,27.107683533411027,Krishnarajapura,17.175244999669722,Bellary Road,0.15789473684210525,3246.37681116
PRM/KA/RERA/1251/446/PR/270824/006981,0.5,152.0,27.404775,2.93,18.0,1520,4293950543,Bengaluru Urban,12.9534075,77.7447296,Prestige Raintree Park,2024-09-01,Residential/Group Housing,Bengaluru East,112652,39210,73443,28111671392,Whitefield,Apartment,14.6,27.3676921962609,19.100219029716584,24.331938177447633,3.3530135558886855,Nallurahalli,4.845417552569084,Marathahalli Underpass,0.1,4165.5258
PRM/KA/RERA/1251/309/PR/160124/006550,0.5,15.0,30.56,2.5,2.0,267,380724960,Bengaluru Urban,13.104793310299922,77.60908484458923,Nikoo Homes VI - Phase-2,2024-10-01,Residential/Group Housing,Bengaluru North,13597,1839,11759,2352925977,Kogilu,Apartment,15.7,14.737425658226448,14.782321221182015,11.71247614345161,11.071818655857077,Yeshwantpur,0.7794163633263126,Bellary Road,0.056179775280898875,458.4
PRM/KA/RERA/1251/309/PR/131023/006321,0.5,88.0,6.387159090909091,2.62,3.0,437,748471320,Bengaluru Urban,13.0496,77.62581,Mirabelle,2023-11-01,Residential/Group Housing,Bengaluru North,7736,2003,5733,3927561678,Thanisandra,Apartment,20.6,18.583574043208927,10.065002419083042,10.223324319495807,7.118280809845861,Baiyappanahalli,0.9779093680810773,Nagawara Flyover,0.20137299771167047,562.07
PRM/KA/RERA/1251/309/PR/171123/006418,0.5,70.0,30.56,2.99,3.0,876,498873000,Bengaluru Urban,13.0793339,77.64210179999999,Nikoo Homes V - Phase - 1,2023-11-15,Residential/Group Housing,Bengaluru North,16630,6998,9362,7233199844,Kannuru,Apartment,11.285588235294117,14.849597085211808,13.768984829073283,12.994268361893722,9.597176473789785,Krishnarajapura,4.72157130813371,Nagawara Flyover,0.07990867579908675,2139.2
PRM/KA/RERA/1251/310/PR/051224/007268,1.0,2.0,57.72,2.49,1.0,126,257331000,Bengaluru Urban,12.863012,77.770414,SUYUG THE 1,2024-10-01,Residential/Group Housing,Bengaluru South,8802,1870,6932,1241171148,Sarjapur,Apartment,9.0,37.6959843259063,25.095495685722273,31.528720629703454,13.506856491703347,Nallurahalli,11.878440945712358,Outer Ring Road Underpass,0.015873015873015872,115.44
PRM/KA/RERA/1251/446/PR/120922/005235,1.0,200.0,38.556200000000004,3.273,6.0,1006,534325290,Bengaluru Urban,13.017146,77.762329,PAVANI MIRABILIA PHASE I,2022-05-19,Residential/Group Housing,Bengaluru East,54278,11485,42793,4714904290,Whitefield,Apartment,10.76,20.899675485225607,21.307597014191835,24.800901111018394,2.4150529960048237,Whitefield (Kadugodi),5.434047143874527,Old Madras Road,0.1988071570576541,7711.240000000001
PRM/KA/RERA/1251/446/PR/190424/006813,1.0,100.0,40.91,2.25,2.0,825,385000000,Bengaluru Urban,12.880757277999384,77.71537779886503,TRIFECTA VANTO PHASE-1,2024-03-01,Residential/Group Housing,Bengaluru East,36678,3359,33319,4646247743,Sarjapur Road,Apartment,10.665,35.099574329058946,18.98705723803977,25.596668527059606,10.657629286443807,Nallurahalli,6.416201686812296,Outer Ring Road,0.12121212121212122,4090.9999999999995
