rera_ids,far,number_of_towers,total_unit_count,1_5BHK_count,1BHK_count,1RK_count,2_5BHK_count,2BHK_count,3_5BHK_count,3BHK_count,4_5BHK_count,4BHK_count,5BHK_count,1_5BHK_mean_carpet_area,1BHK_mean_carpet_area,1RK_mean_carpet_area,2_5BHK_mean_carpet_area,2BHK_mean_carpet_area,3_5BHK_mean_carpet_area,3BHK_mean_carpet_area,4_5BHK_mean_carpet_area,4BHK_mean_carpet_area,5BHK_mean_carpet_area,cost_of_land_inr,district,latitude,longitude,project_completion_date,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,1RK,1BHK,1_5BHK,2BHK,2_5BHK,3BHK,3_5BHK,4BHK,4_5BHK,5BHK,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,project_duration
PRM/KA/RERA/1251/446/PR/191022/005340,2.0,1.0,126,0.0,0.0,0.0,0.0,61.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.20524590163936,0.0,110.62092307692308,0.0,0.0,0.0,186483575,Bengaluru Urban,12.921337,77.73400459999999,2025-12-31,MATHAPATHI GRAND FIELD,2022-03-07,Residential/Group Housing,Bengaluru East,5967,2729,3238,827988575,Gunjur,Apartment,0,0,0,1,0,1,0,0,0,0,8.5,30.74363347565737,18.789358486985407,24.73763511355918,6.197776154671447,Nallurahalli,4.717755293535501,Outer Ring Road,3.8193018480492817
PRM/KA/RERA/1251/446/PR/150224/006619,2.25,1.0,84,0.0,0.0,0.0,0.0,52.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.15846153846154,0.0,96.15,0.0,0.0,0.0,157075683,Bengaluru Urban,13.0377179,77.7046523,2025-12-31,LVS Paradise,2023-12-15,Residential/Group Housing,Bengaluru East,3793,2081,1712,419768213,Hallehalli,Apartment,0,0,0,1,0,1,0,0,0,0,6.25,17.722085450180227,16.06212827555927,18.53757358714947,4.735449931227615,Singayyanapalya,1.9752409435607348,Old Madras Road,2.0451745379876796
PRM/KA/RERA/1251/446/PR/300924/007102,2.2,1.0,60,0.0,0.0,0.0,0.0,28.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.22785714285715,0.0,80.885,0.0,0.0,0.0,47460540,Bengaluru Urban,13.060718619363996,77.63902350184863,2026-06-30,ELITE HOMES,2023-07-25,Residential/Group Housing,Bengaluru East,2655,1443,1212,392585789,R.K. Hegde Nagar,Apartment,0,0,0,1,0,1,0,0,0,0,8.02,16.838684810720025,11.915245835570596,11.929444383072388,7.787598279180624,Benniganahalli,2.7743405802190244,Nagawara Flyover,2.9322381930184807
PRM/KA/RERA/1251/310/PR/051224/007268,2.49,1.0,126,0.0,2.0,0.0,0.0,0.0,0.0,118.0,0.0,4.0,0.0,0.0,57.72,0.0,0.0,0.0,0.0,104.80322033898304,0.0,191.97,0.0,257331000,Bengaluru Urban,12.863012,77.770414,2028-03-31,SUYUG THE 1,2024-10-01,Residential/Group Housing,Bengaluru South,8802,1870,6932,1241171148,Sarjapur,Apartment,0,1,0,0,0,1,0,1,0,0,9.0,37.6959843259063,25.095495685722273,31.528720629703457,13.506856491703347,Nallurahalli,11.878440945712358,Outer Ring Road Underpass,3.4962354551676933
PRM/KA/RERA/1251/308/PR/210524/006935,1.56,1.0,166,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.13170731707316,0.0,149.035,0.0,16500000,Bengaluru Urban,12.837776232786323,77.66780221097567,2029-06-30,Ayatana Residences E-City,2024-07-01,Residential/Group Housing,Anekal,8907,675,8232,1423768000,Electronic City,Apartment,0,0,0,0,0,1,0,1,0,0,13.43,40.05899626491173,18.659459298790555,25.630953046275323,12.408801130505358,Yelachenahalli,2.5804449739071815,Hosur Road,4.996577686516085
PRM/KA/RERA/1251/446/PR/181223/006492,2.2002004444444445,2.0,162,0.0,0.0,0.0,0.0,72.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.77000000000001,0.0,82.836,0.0,0.0,0.0,129620000,Bengaluru Urban,13.060777,77.75763,2027-10-30,Aratt Avant Twilight,2023-10-01,Residential/Group Housing,Bengaluru East,9459,1421,8037,867750000,Budigere Cross,Apartment,0,0,0,1,0,1,0,0,0,0,8.63,16.158873080240067,22.34854800795087,24.514308228981843,7.194863964926639,Whitefield (Kadugodi),6.481238181936037,Old Madras Road,4.079397672826831
PRM/KA/RERA/1251/446/PR/301223/006522,2.0,1.0,93,0.0,0.0,0.0,0.0,42.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.89190476190477,0.0,85.36313725490196,0.0,0.0,0.0,64700000,Bengaluru Urban,13.060777,77.75763,2028-01-31,Aratt Avant Twilight - Phase I,2024-02-01,Residential/Group Housing,Bengaluru East,5261,2038,3223,525100000,Budigere Cross,Apartment,0,0,0,1,0,1,0,0,0,0,8.63,16.158873080240067,22.34854800795087,24.514308228981843,7.194863964926639,Whitefield (Kadugodi),6.481238181936037,Old Madras Road,3.997262149212868
PRM/KA/RERA/1251/472/PR/111124/007218,1.27,11.0,150,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.785536040672984,0.0,0.0,0.0,589356200,Bengaluru Urban,13.1815797,77.554777,2027-09-02,ATMOS TROPICALWOODS,2024-09-02,Residential/Group Housing,Yelahanka,27771,13185,14420,1837356200,Yelahanka,Villa,0,0,0,0,0,1,0,0,0,0,8.29,16.524297237073412,22.728511382278526,17.062697242778807,15.926139642610856,Nagasandra,8.813785226140226,Bellary Road,2.9979466119096507
PRM/KA/RERA/1251/446/PR/120922/005235,3.273,6.0,1006,0.0,200.0,0.0,0.0,402.0,0.0,404.0,0.0,0.0,0.0,0.0,38.5562,0.0,0.0,65.50985074626865,0.0,87.25702970297029,0.0,0.0,0.0,534325290,Bengaluru Urban,13.017146,77.762329,2028-05-25,PAVANI MIRABILIA PHASE I,2022-05-19,Residential/Group Housing,Bengaluru East,54278,11485,42793,4714904290,Whitefield,Apartment,0,1,0,1,0,1,0,0,0,0,10.76,20.899675485225607,21.307597014191835,24.80090111101839,2.4150529960048237,Whitefield (Kadugodi),5.434047143874527,Old Madras Road,6.017796030116359
PRM/KA/RERA/1251/446/PR/161224/007303,2.249,4.0,180,0.0,0.0,0.0,46.0,14.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,84.11128883695652,77.68321653928571,0.0,94.90018812691666,0.0,0.0,0.0,60000000,Bengaluru Urban,12.893609062208936,77.69238880000862,2028-12-31,Mana Cresta,2025-01-01,Residential/Group Housing,Bengaluru East,9940,3683,6257,1350000000,"Chikkanayakanahalli, Choodasandra",Apartment,0,0,0,1,1,1,0,0,0,0,9.35,33.697771781220496,16.124952037906255,22.774900631484584,9.625413494460808,Kundalahalli,3.989186038932768,Outer Ring Road,3.997262149212868
